,#RIC,Alias Underlying RIC,Domain,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,date,time,Adjusted Open
0,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.5,102.5,102.5,102.5,44.0,1.0,,,,,,,,,,,1997-01-02,13:23:00,88.29101827628104
1,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.6,102.6,102.6,102.6,52.0,1.0,,,,,,,,,,,1997-01-02,13:24:00,88.37715585508717
2,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.4,102.4,102.4,102.4,,1.0,,,,,,,,,,,1997-01-02,13:32:00,88.20488069747492
3,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.4,102.4,102.4,102.4,0.0,1.0,,,,,,,,,,,1997-01-02,13:33:00,88.20488069747492
4,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.3,102.3,102.3,102.3,0.0,1.0,,,,,,,,,,,1997-01-02,13:34:00,88.11874311866877
5,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.5,102.5,102.5,102.5,0.0,1.0,,,,,,,,,,,1997-01-02,13:45:00,88.29101827628104
6,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.5,102.5,102.5,102.5,0.0,1.0,,,,,,,,,,,1997-01-02,13:52:00,88.29101827628104
7,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.7,102.7,102.7,102.7,7.0,1.0,,,,,,,,,,,1997-01-02,14:05:00,88.46329343389331
8,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.7,102.7,102.7,102.7,0.0,1.0,,,,,,,,,,,1997-01-02,14:06:00,88.46329343389331
9,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.9,102.9,102.9,102.9,0.0,1.0,,,,,,,,,,,1997-01-02,15:02:00,88.63556859150553
10,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.7,102.7,102.7,102.7,0.0,1.0,,,,,,,,,,,1997-01-02,15:19:00,88.46329343389331
11,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.8,102.8,102.8,102.8,0.0,1.0,,,,,,,,,,,1997-01-02,15:24:00,88.54943101269939
12,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.8,102.8,102.8,102.8,0.0,1.0,,,,,,,,,,,1997-01-02,15:25:00,88.54943101269939
13,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.0,103.0,103.0,103.0,0.0,1.0,,,,,,,,,,,1997-01-02,16:12:00,88.72170617031168
14,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.0,103.0,103.0,103.0,0.0,1.0,,,,,,,,,,,1997-01-02,16:13:00,88.72170617031168
15,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.3,103.3,103.3,103.3,0.0,1.0,,,,,,,,,,,1997-01-02,16:20:00,88.98011890673004
16,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.3,103.3,103.3,103.3,0.0,1.0,,,,,,,,,,,1997-01-02,16:23:00,88.98011890673004
17,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.25,103.25,103.2,103.25,0.0,3.0,,,,,,,,,,,1997-01-02,16:48:00,88.93705011732699
18,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.1,103.1,103.1,103.1,0.0,1.0,,,,,,,,,,,1997-01-02,16:52:00,88.8078437491178
19,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.1,103.1,103.1,103.1,0.0,1.0,,,,,,,,,,,1997-01-02,17:37:00,88.8078437491178
20,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.7,103.7,103.7,103.7,1.0,2.0,,,,,,,,,,,1997-01-02,17:57:00,89.32466922195457
21,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.0,104.0,104.0,104.0,0.0,1.0,,,,,,,,,,,1997-01-02,18:00:00,89.58308195837294
22,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.9,103.9,103.9,103.9,0.0,1.0,,,,,,,,,,,1997-01-02,18:03:00,89.49694437956684
23,HGc1,HGF7,Market Price,-5,Intraday 1Min,103.8,103.8,103.8,103.8,0.0,1.0,,,,,,,,,,,1997-01-02,18:08:00,89.41080680076071
24,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.0,104.0,104.0,104.0,0.0,1.0,,,,,,,,,,,1997-01-02,18:09:00,89.58308195837294
25,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.2,104.2,104.2,104.2,0.0,1.0,,,,,,,,,,,1997-01-02,18:11:00,89.7553571159852
26,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.2,104.2,104.2,104.2,0.0,1.0,,,,,,,,,,,1997-01-02,18:20:00,89.7553571159852
27,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.3,104.3,104.3,104.3,1.0,1.0,,,,,,,,,,,1997-01-02,18:23:00,89.84149469479134
28,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.2,104.2,104.2,104.2,0.0,1.0,,,,,,,,,,,1997-01-02,18:41:00,89.7553571159852
29,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.5,104.5,104.5,104.5,0.0,1.0,,,,,,,,,,,1997-01-02,18:55:00,90.01376985240358
30,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.6,104.6,104.6,104.6,10.0,2.0,,,,,,,,,,,1997-01-02,18:59:00,90.09990743120972
31,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.6,104.6,104.6,104.6,2.0,2.0,,,,,,,,,,,1997-01-02,19:00:00,90.09990743120972
32,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.6,104.6,104.6,104.6,1.0,1.0,,,,,,104.6,104.6,104.6,104.6,1.0,1997-01-02,21:05:00,90.09990743120972
33,HGc1,HGF7,Market Price,-5,Intraday 1Min,102.1,102.1,102.1,102.1,1.0,1.0,102.1,102.1,102.1,102.1,1.0,109.0,109.0,109.0,109.0,1.0,1997-01-02,21:37:00,87.94646796105653
34,HGc1,HGF7,Market Price,-5,Intraday 1Min,104.2,104.2,104.2,104.2,0.0,1.0,103.45,103.45,103.45,103.45,0.0,105.1,105.1,105.05,105.05,0.0,1997-01-03,13:38:00,89.7553571159852
35,HGc1,HGF7,Market Price,-5,Intraday 1Min,105.2,105.2,105.2,105.2,0.0,1.0,103.45,103.45,103.45,103.45,0.0,105.1,105.1,105.05,105.05,0.0,1997-01-03,13:39:00,90.61673290404649
